zona,temperatura,humedad,presion,luz,sonido_db,co2,particulas_pm25,gas_tipo,gas_ppm,vibracion,inclinacion,distancia_obstaculo,velocidad_robot,senal_comunicacion,bateria,voltaje_bateria,temperatura_bateria,autonomia_estimada_min,visibilidad,persona_detectada,confianza_persona,nivel_riesgo,accion_recomendada
Punto crítico,23.74256189816825,37.15692135036181,951.2463600317424,0.59255,54.21564267896782,505.07525651298914,136.68260263440422,gas_desconocido,16.081237488525137,1.31,19.3,1.55,0.67,51.8,36.395081330984134,10.82,4,28.5,45.2,0,0.11,Alto,Cambiar ruta o detenerse
Punto crítico,22.38141460652691,37.42254854623108,900.0,0.0,70.79060874611277,545.7301613751383,168.99046966863682,humo,447.921945233395,1.63,0.1,3.1,0.43,58.6,61.88648620500295,12.1,24,45.9,28.5,0,0.05,Alto,Cambiar ruta o detenerse
Túnel estrecho,22.33341203440719,19.73899840803688,941.2341352818698,0.0,50.41972541772597,2085.62624168243,20.303589764555163,sin_gas,326.0413414398717,0.43,22.3,3.62,0.14,33.5,51.792509423410685,11.46,24,37.8,72.8,0,0.14,Alto,Cambiar ruta o detenerse
Túnel estrecho,21.9931025941193,40.28416373074225,938.0665855843296,0.5333,18.377416366724862,2098.9686689653972,102.63263629183912,amoniaco,368.76909377418934,0.93,26.2,4.17,1.29,23.5,60.061446716535144,11.91,4,47.4,54.9,0,0.12,Alto,Cambiar ruta o detenerse
Habitación bloqueada,24.145009624989285,42.89222303223411,944.360592243422,0.47405,34.73388629067672,915.1399058240705,49.42914807170559,sin_gas,1.3037316963168677,2.33,8.7,4.65,0.56,35.1,33.43413756161237,11.06,24,23.1,74.9,0,0.19,Medio,Avanzar con precaución
Pasillo A,22.18351719882688,40.97895506605714,951.287137593466,0.0,15.188539974771782,1691.9792258804273,29.33534701393767,amoniaco,314.1197170186162,1.11,16.3,2.18,1.05,74.3,70.36132790174949,12.0,4,55.7,63.9,0,0.11,Medio,Avanzar con precaución
Pasillo A,18.488868612378795,32.793438789231544,900.0,0.0,62.34280571231345,1330.6781578037849,43.32154023102257,sin_gas,294.243081855513,2.01,33.8,3.75,1.43,26.6,60.061446716535144,11.83,4,47.4,70.9,0,0.14,Alto,Cambiar ruta o detenerse
Pasillo A,23.00815515131372,39.16631962651047,938.372606338137,0.0,25.928362500791216,1728.6616869473773,106.1085368120988,metano,268.6027781931499,2.32,10.4,0.56,0.89,64.4,60.061446716535144,11.58,24,44.4,41.7,0,0.36,Alto,Cambiar ruta o detenerse
Sector norte,21.939791625932063,24.85229343751852,900.0,0.0,43.21215361700223,2212.0464966083728,16.398537752693183,amoniaco,392.9334283529425,2.44,7.8,0.48,0.66,31.7,56.82081422674751,11.84,24,41.9,60.2,0,0.14,Alto,Cambiar ruta o detenerse
Punto crítico,24.98980670625137,34.4849896316777,955.067004901742,1.7152,70.21874891320027,567.6984916227386,80.98825432947307,sin_gas,277.9355481982526,2.25,7.4,0.8,0.48,35.7,60.061446716535144,11.73,4,47.4,61.2,1,0.86,Medio,Enviar alerta y avanzar con precaución
Túnel estrecho,21.83052903386432,37.47299582873182,900.0,0.0,28.68218593447614,2033.767294575754,28.664873917153677,humo,428.5485947799288,0.79,19.6,2.35,1.41,51.4,67.17567960953639,11.99,24,50.1,61.7,0,0.25,Medio,Avanzar con precaución
