,count,unique,top,freq,mean,std,min,25%,50%,75%,max
zona,2000,10,Zona de escombros,220,,,,,,,
temperatura,2000.0,,,,22.066610766741864,2.0448694017219005,13.632610293756091,20.643199893603125,22.182346312134044,23.674633891724135,28.21828939929379
humedad,2000.0,,,,33.26251069307298,7.926507812409627,13.848168510503069,26.6288287148504,34.75509038401537,38.90453578425675,50.29342450650736
presion,2000.0,,,,931.3241314455485,22.21983157151626,900.0,900.0,943.5224208788991,948.5465359826067,960.0554262047484
luz,2000.0,,,,1.1978085500000002,5.321828768039241,0.0,0.0,0.0,0.5333,100.0
sonido_db,2000.0,,,,33.679281129660204,17.794980262131407,3.3994270623412324,20.426184415010724,29.72810723611347,42.67203531088992,76.79124358452913
co2,2000.0,,,,1435.7107868927935,608.0413803531663,400.3889101204299,930.7725288421326,1429.1614142935318,1947.5218799123222,2499.234813393432
particulas_pm25,2000.0,,,,93.11317000963932,50.06017326417475,5.020762859398752,50.52627308239702,93.81368633221476,136.50076210480933,179.8408843645294
gas_tipo,2000,6,sin_gas,706,,,,,,,
gas_ppm,2000.0,,,,251.24581485420657,143.83840205449707,0.1203348714511332,127.47083390119207,251.47184601981468,371.83665236414726,499.9463333525246
vibracion,2000.0,,,,1.2787149999999998,0.7195713934489997,0.0,0.66,1.27,1.9024999999999999,2.5
inclinacion,2000.0,,,,17.473650000000003,9.968788243664498,0.0,9.0,17.55,25.7,35.0
distancia_obstaculo,2000.0,,,,2.565915,1.377564809792116,0.2,1.36,2.6,3.72,5.0
velocidad_robot,2000.0,,,,0.78226,0.39712107092483295,0.1,0.44,0.77,1.12,1.5
senal_comunicacion,2000.0,,,,60.26575,23.421764482276558,20.0,39.7,59.9,81.2,100.0
bateria,2000.0,,,,58.882279457813844,11.052257369642703,15.0,60.06144671653514,60.06144671653514,60.06144671653514,100.0
voltaje_bateria,2000.0,,,,11.739900000000002,0.2824480101526998,10.5,11.63,11.77,11.9,12.6
temperatura_bateria,2000.0,,,,19.9585,11.063316692480562,4.0,4.0,24.0,24.0,44.0
autonomia_estimada_min,2000.0,,,,44.083149999999996,8.953787814976286,5.4,44.4,44.4,47.4,76.4
visibilidad,2000.0,,,,54.151149999999994,15.727204174711936,13.1,42.6,54.4,65.6,94.1
persona_detectada,2000.0,,,,0.1705,0.3761655224101819,0.0,0.0,0.0,0.0,1.0
confianza_persona,2000.0,,,,0.30419999999999997,0.24981485890928493,0.01,0.13,0.24,0.37,0.98
nivel_riesgo,2000,3,Alto,1035,,,,,,,
accion_recomendada,2000,6,Cambiar ruta o detenerse,859,,,,,,,
