,temperatura,humedad,presion,luz,sonido_db,co2,particulas_pm25,gas_ppm,vibracion,inclinacion,distancia_obstaculo,velocidad_robot,senal_comunicacion,bateria,voltaje_bateria,temperatura_bateria,autonomia_estimada_min,visibilidad,persona_detectada,confianza_persona
temperatura,1.0,-0.01939540213573532,0.009500247409577525,0.00022121270967550508,-0.020664079919306723,-0.0074709013621997574,-0.03652980381647529,0.02563745664470166,-0.04095890072438738,-0.004255852477017073,-0.008081988320403584,-0.02056350366198355,0.038344742352596224,0.0038104293748391247,0.005924401573731621,0.00044903464459181933,0.0036642654627164063,0.004523380351023321,-0.011764065042780695,-0.008995378669749723
humedad,-0.01939540213573532,1.0,0.01247929722310586,-0.0388376648916578,-0.022930421587446365,0.016675640261669976,-0.0014464765715518316,-0.016203938288372313,0.006076624083244496,0.01793389761692256,-0.01333748354866894,0.0006143745003713571,-0.024036217651514168,-0.009630511378200085,-0.012770608962706712,0.016497201740301275,-0.012534686447063853,0.010276659358170721,-0.034860566434879114,-0.02418534789560022
presion,0.009500247409577525,0.01247929722310586,1.0,0.03154804796882018,-0.04476291860866757,0.015555890293174541,0.015740702472422274,-0.005535022674929678,0.0072055958372875956,-0.027402120239875902,0.020756150625713905,0.011788163951150999,0.024426916434936694,-0.017684167840126296,-0.007341987911057988,0.0038105453119145105,-0.01810248540217693,-0.014599050942766523,0.025111398962275225,0.01017423804763424
luz,0.00022121270967550508,-0.0388376648916578,0.03154804796882018,1.0,-0.025418184364669902,0.0007393190248171621,0.034306967259199836,-0.011394059537196188,-0.00694016220775962,0.022084490513107582,-0.02221307344883819,-0.023356198871180185,0.023699961418173543,-0.02222540673041611,-0.01832330347198243,-0.023015204255810023,-0.017668889937508567,-0.01854360107355105,0.0017402988075178624,-0.001598818258179059
sonido_db,-0.020664079919306723,-0.022930421587446365,-0.04476291860866757,-0.025418184364669902,1.0,0.019812318882419844,-0.0032220445465567797,0.005848053745722126,-0.020566122107051794,0.013786885310856539,-0.02320970668882755,-0.011822669235029991,-0.0066278560340484296,0.007455426735881476,0.007511523094337078,0.00841390001507882,0.005883203939113819,0.005559057577095045,-0.031243942470469854,-0.04565222814268694
co2,-0.0074709013621997574,0.016675640261669976,0.015555890293174541,0.0007393190248171621,0.019812318882419844,1.0,-0.007110171511046146,0.01239632329909916,-0.024312310430629376,0.026576047584517058,-0.04088770770840321,-0.02030187456520497,-0.010779792351555685,0.018397448164679284,0.006220645157964328,-0.008119667613260233,0.019556769687718818,0.002720132627458194,0.01330295796749954,0.024679022933012402
particulas_pm25,-0.03652980381647529,-0.0014464765715518316,0.015740702472422274,0.034306967259199836,-0.0032220445465567797,-0.007110171511046146,1.0,0.042439829227418305,-0.018138509548922616,-0.010598150528072163,-0.0131322451928775,-0.007281382414903883,0.013390022425657356,-0.024336888774003102,-0.019156687930705445,0.009138307879318632,-0.02565514094460169,-0.8165159945603335,-0.019000686514734754,-0.018499914141784264
gas_ppm,0.02563745664470166,-0.016203938288372313,-0.005535022674929678,-0.011394059537196188,0.005848053745722126,0.01239632329909916,0.042439829227418305,1.0,0.019223616868276373,-0.01944498676964902,-0.012518832037293376,0.02116464217383274,0.0008561040523451408,-0.003328961574644838,-0.005981055170229754,-0.005930353638902555,-0.0021976662443105584,-0.4823474996538167,-0.015297508159896831,-0.013416954164909371
vibracion,-0.04095890072438738,0.006076624083244496,0.0072055958372875956,-0.00694016220775962,-0.020566122107051794,-0.024312310430629376,-0.018138509548922616,0.019223616868276373,1.0,-0.022447811364481225,0.02222550103293724,0.015970690372966237,-0.028897897914429274,0.017156277928632453,-0.00481307985393088,0.01898130200659776,0.013403384461612456,0.012995118669211903,0.01289664684619943,0.006831684382953315
inclinacion,-0.004255852477017073,0.01793389761692256,-0.027402120239875902,0.022084490513107582,0.013786885310856539,0.026576047584517058,-0.010598150528072163,-0.01944498676964902,-0.022447811364481225,1.0,0.0024605047277739584,0.000580148061710809,-0.019352680546972527,0.012969228485041985,0.03068247788571875,0.0045082484265961936,0.012033129145874403,0.007422764427457905,0.0030129551888362807,0.014332521947915363
