variable,importancia
vibracion,0.13304758813517678
visibilidad,0.13284295076878957
inclinacion,0.12137436903571207
gas_ppm,0.10399020372075625
senal_comunicacion,0.07893208026506067
particulas_pm25,0.07118968506112124
co2,0.0691360769078884
distancia_obstaculo,0.05288669329986561
temperatura,0.0280384720829213
sonido_db,0.02689057204791592
velocidad_robot,0.024931068809293612
humedad,0.02341236090492133
confianza_persona,0.02327066162179535
voltaje_bateria,0.022913109400624642
autonomia_estimada_min,0.018729946820198393
presion,0.017144612962503646
bateria,0.01442645351307411
luz,0.012052993099683074
temperatura_bateria,0.007471443788680741
gas_tipo_monoxido_carbono,0.003596379417760758
gas_tipo_humo,0.0033985294649779715
gas_tipo_sin_gas,0.0031003860905994087
gas_tipo_metano,0.003049444845020323
persona_detectada,0.0024094483691961726
gas_tipo_gas_desconocido,0.001764469566462732
