timestamp,x,y,z,mission_state,risk_level,recommended_action,temperature,gas_ppm,vibration,inclination,battery,obstacle_distance,person_detected,current_objective,decision_status,last_alert
2026-06-11T14:16:25,-2.4772,0.0464,0.45,SIN_ESTADO,Bajo,Avanzar,24.0,21.7,0.15,3.6,98.0,4.58,0,SIN_OBJETIVO,SIN_DECISION,SIN_ALERTAS
2026-06-11T14:16:26,-1.7365,0.163,0.45,EXPLORANDO,Bajo,Avanzar,22.6,25.4,0.27,2.9,97.9,4.6,0,"Zona de escombros inicial | target=(1.50, 0.80) | robot=(-1.88, 0.13)",Decision | state=EXPLORANDO | objective=Zona de escombros inicial | risk=Bajo | accion_ia=Avanzar | gas=25.4ppm | temp=22.6C | vib=0.27 | inc=2.9deg | bateria=97.9% | obstaculo=4.60m | persona=0 | decision=Riesgo bajo. Continuar exploración hacia waypoint.,"ALERTA BASE #2 | estado=EXPLORANDO | x=-1.88, y=0.13 | Waypoint alcanzado. Nuevo objetivo: Zona de escombros inicial"
2026-06-11T14:16:27,-1.0279,0.4033,0.45,EXPLORANDO,Bajo,Avanzar,25.3,33.8,0.12,5.5,97.7,4.58,0,"Zona de escombros inicial | target=(1.50, 0.80) | robot=(-1.88, 0.13)",Decision | state=EXPLORANDO | objective=Zona de escombros inicial | risk=Bajo | accion_ia=Avanzar | gas=25.4ppm | temp=22.6C | vib=0.27 | inc=2.9deg | bateria=97.9% | obstaculo=4.60m | persona=0 | decision=Riesgo bajo. Continuar exploración hacia waypoint.,"ALERTA BASE #2 | estado=EXPLORANDO | x=-1.88, y=0.13 | Waypoint alcanzado. Nuevo objetivo: Zona de escombros inicial"
2026-06-11T14:16:28,-0.3909,0.7836,0.45,EXPLORANDO,Bajo,Avanzar,23.9,33.8,0.21,3.7,97.6,4.47,0,"Zona de escombros inicial | target=(1.50, 0.80) | robot=(-0.45, 0.74)",Decision | state=EXPLORANDO | objective=Zona de escombros inicial | risk=Bajo | accion_ia=Avanzar | gas=33.8ppm | temp=23.9C | vib=0.21 | inc=3.7deg | bateria=97.6% | obstaculo=4.47m | persona=0 | decision=Riesgo bajo. Continuar exploración hacia waypoint.,"ALERTA BASE #2 | estado=EXPLORANDO | x=-1.88, y=0.13 | Waypoint alcanzado. Nuevo objetivo: Zona de escombros inicial"
2026-06-11T14:16:29,0.1574,1.1887,0.45,EXPLORANDO,Bajo,Avanzar,23.8,50.1,0.39,6.8,97.4,4.22,0,"Zona de escombros inicial | target=(1.50, 0.80) | robot=(-0.45, 0.74)",Decision | state=EXPLORANDO | objective=Zona de escombros inicial | risk=Bajo | accion_ia=Avanzar | gas=33.8ppm | temp=23.9C | vib=0.21 | inc=3.7deg | bateria=97.6% | obstaculo=4.47m | persona=0 | decision=Riesgo bajo. Continuar exploración hacia waypoint.,"ALERTA BASE #2 | estado=EXPLORANDO | x=-1.88, y=0.13 | Waypoint alcanzado. Nuevo objetivo: Zona de escombros inicial"
2026-06-11T14:16:30,0.6732,1.5911,0.45,EXPLORANDO,Bajo,Avanzar,26.9,82.6,0.62,11.8,97.3,4.07,0,"Zona de escombros inicial | target=(1.50, 0.80) | robot=(0.59, 1.53)",Decision | state=EXPLORANDO | objective=Zona de escombros inicial | risk=Bajo | accion_ia=Avanzar | gas=82.6ppm | temp=26.9C | vib=0.62 | inc=11.8deg | bateria=97.3% | obstaculo=4.07m | persona=0 | decision=Riesgo bajo. Continuar exploración hacia waypoint.,"ALERTA BASE #2 | estado=EXPLORANDO | x=-1.88, y=0.13 | Waypoint alcanzado. Nuevo objetivo: Zona de escombros inicial"
2026-06-11T14:16:31,1.0644,1.6702,0.45,EXPLORANDO,Bajo,Avanzar,26.8,114.1,0.73,12.4,97.1,3.74,0,"Zona de escombros inicial | target=(1.50, 0.80) | robot=(0.59, 1.53)",Decision | state=EXPLORANDO | objective=Zona de escombros inicial | risk=Bajo | accion_ia=Avanzar | gas=82.6ppm | temp=26.9C | vib=0.62 | inc=11.8deg | bateria=97.3% | obstaculo=4.07m | persona=0 | decision=Riesgo bajo. Continuar exploración hacia waypoint.,"ALERTA BASE #2 | estado=EXPLORANDO | x=-1.88, y=0.13 | Waypoint alcanzado. Nuevo objetivo: Zona de escombros inicial"
2026-06-11T14:16:32,1.4258,1.4498,0.45,EXPLORANDO,Bajo,Avanzar,27.4,123.3,0.76,16.0,97.0,3.27,0,"Cruce inestable | target=(3.20, 1.40) | robot=(1.35, 1.53)",Decision | state=EXPLORANDO | objective=Cruce inestable | risk=Bajo | accion_ia=Avanzar | gas=123.3ppm | temp=27.4C | vib=0.76 | inc=16.0deg | bateria=97.0% | obstaculo=3.27m | persona=0 | decision=Riesgo bajo. Continuar exploración hacia waypoint.,"ALERTA BASE #3 | estado=EXPLORANDO | x=1.35, y=1.53 | Waypoint alcanzado. Nuevo objetivo: Cruce inestable"
2026-06-11T14:16:33,1.857,0.9636,0.45,EXPLORANDO,Medio,Avanzar con precaucion,29.7,131.9,0.96,16.2,96.8,2.84,0,"Cruce inestable | target=(3.20, 1.40) | robot=(1.35, 1.53)",Decision | state=EXPLORANDO | objective=Cruce inestable | risk=Bajo | accion_ia=Avanzar | gas=123.3ppm | temp=27.4C | vib=0.76 | inc=16.0deg | bateria=97.0% | obstaculo=3.27m | persona=0 | decision=Riesgo bajo. Continuar exploración hacia waypoint.,"ALERTA BASE #3 | estado=EXPLORANDO | x=1.35, y=1.53 | Waypoint alcanzado. Nuevo objetivo: Cruce inestable"
2026-06-11T14:16:34,2.2336,0.4758,0.45,EXPLORANDO_CON_PRECAUCION,Medio,Avanzar con precaucion,29.1,150.1,0.87,14.1,96.7,2.74,0,"Cruce inestable | target=(3.20, 1.40) | robot=(2.21, 0.50)",Decision | state=EXPLORANDO_CON_PRECAUCION | objective=Cruce inestable | risk=Medio | accion_ia=Avanzar con precaucion | gas=150.1ppm | temp=29.1C | vib=0.87 | inc=14.1deg | bateria=96.7% | obstaculo=2.74m | persona=0 | decision=Riesgo medio. Avanzar lentamente hacia objetivo.,"ALERTA BASE #3 | estado=EXPLORANDO | x=1.35, y=1.53 | Waypoint alcanzado. Nuevo objetivo: Cruce inestable"
2026-06-11T14:16:35,2.5448,0.3374,0.45,EXPLORANDO_CON_PRECAUCION,Medio,Avanzar con precaucion,28.0,170.6,1.03,15.6,96.5,2.62,0,"Cruce inestable | target=(3.20, 1.40) | robot=(2.21, 0.50)",Decision | state=EXPLORANDO_CON_PRECAUCION | objective=Cruce inestable | risk=Medio | accion_ia=Avanzar con precaucion | gas=150.1ppm | temp=29.1C | vib=0.87 | inc=14.1deg | bateria=96.7% | obstaculo=2.74m | persona=0 | decision=Riesgo medio. Avanzar lentamente hacia objetivo.,"ALERTA BASE #3 | estado=EXPLORANDO | x=1.35, y=1.53 | Waypoint alcanzado. Nuevo objetivo: Cruce inestable"
2026-06-11T14:16:36,2.8399,0.449,0.45,EXPLORANDO_CON_PRECAUCION,Medio,Avanzar con precaucion,30.2,182.8,1.09,17.0,96.4,2.21,0,"Cruce inestable | target=(3.20, 1.40) | robot=(2.81, 0.42)",Decision | state=EXPLORANDO_CON_PRECAUCION | objective=Cruce inestable | risk=Medio | accion_ia=Avanzar con precaucion | gas=182.8ppm | temp=30.2C | vib=1.09 | inc=17.0deg | bateria=96.4% | obstaculo=2.21m | persona=0 | decision=Riesgo medio. Avanzar lentamente hacia objetivo.,"ALERTA BASE #3 | estado=EXPLORANDO | x=1.35, y=1.53 | Waypoint alcanzado. Nuevo objetivo: Cruce inestable"
